2019/03/21 09:47:29.571 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 09:47:29.572 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 09:57:54.545 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 09:57:54.545 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 09:58:01.293 [D]  author control: path=CourseController.Delete userid=1  无权访问
2019/03/21 09:58:40.713 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 09:58:40.713 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 09:58:48.194 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 09:58:48.195 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:15:28.290 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:15:28.290 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:15:33.568 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:15:33.570 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:28:06.283 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:28:06.283 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:29:15.343 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:29:15.344 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:39:45.816 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:39:45.816 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:40:45.374 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:40:45.374 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:53:11.949 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:53:11.949 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:54:59.074 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:54:59.074 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 10:58:33.759 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 10:58:33.759 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:02:02.390 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:02:02.390 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:35:03.017 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:35:03.017 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:35:55.196 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:35:55.196 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:40:38.799 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:40:38.799 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:40:58.539 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:40:58.539 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:41:02.209 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:41:02.209 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:41:19.743 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:41:19.743 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:43:00.762 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:43:00.762 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:43:13.303 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:43:13.305 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:45:24.855 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:45:24.855 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:45:36.343 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:45:36.343 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:47:21.258 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:47:21.258 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:48:06.451 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:48:06.452 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 11:52:37.564 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 11:52:37.564 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 12:57:58.945 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 12:57:58.945 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 12:59:51.741 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 12:59:51.741 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:01:05.532 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:01:05.532 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:02:51.138 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:02:51.138 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:03:10.556 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:03:10.557 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:04:33.186 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:04:33.186 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:05:14.866 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:05:14.866 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:05:42.943 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:05:42.943 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:06:48.018 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:06:48.018 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:11:59.107 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:11:59.107 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:12:20.019 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:12:20.019 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:12:54.514 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:12:54.514 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:15:38.547 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:15:38.547 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:17:48.058 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:17:48.059 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:18:35.234 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:18:35.234 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:21:55.840 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:21:55.840 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:27:23.524 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:27:23.524 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:28:58.915 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:28:58.915 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:32:35.795 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:32:35.795 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:35:45.274 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:35:45.274 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:38:12.972 [E]  Connect to the redis host 127.0.0.1:6379 failed
